Line by line,Fiscal Year   ,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
72,2024,ADVISORY SERVICES HOLDINGS LLC DBA SPRINGLINE ADVISORY,6327,52 - Finance and Insurance,DALLAS,TX,75201,0,0,1,0
73,2024,ADVOCATE INC DBA NAVA,6585,52 - Finance and Insurance,NEW YORK,NY,10003,0,0,2,0
74,2024,ADYEN N V,9949,52 - Finance and Insurance,SAN FRANCISCO,CA,94107,0,0,4,0
75,2024,AEA INVESTORS LP,1840,52 - Finance and Insurance,NEW YORK,NY,10021,0,0,1,0
76,2024,AEGIS INSURANCE SERVICES INC,6904,52 - Finance and Insurance,EAST RUTHERFORD,NJ,7073,1,0,1,0
77,2024,AEGON GLOBAL SERVICES LLC,6921,52 - Finance and Insurance,CEDAR RAPIDS,IA,52499,0,0,4,0
78,2024,AEGON USA REALTY ADVISORS LLC,5796,52 - Finance and Insurance,CEDAR RAPIDS,IA,52499,0,0,3,0
79,2024,AETNA INTERNATIONAL LLC,1642,52 - Finance and Insurance,WOONSOCKET,RI,2895,0,0,2,0
80,2024,AETNA MEDICAID ADMINISTRATORS LLC,2559,52 - Finance and Insurance,WOONSOCKET,RI,2895,2,0,12,0
81,2024,AETNA RESOURCES LLC,3207,52 - Finance and Insurance,WOONSOCKET,RI,2895,44,0,254,1
82,2024,AEW CAPITAL MANAGEMENT L P,9433,52 - Finance and Insurance,BOSTON,MA,2210,1,0,1,0
83,2024,AFACH TECHNOLOGIES CORP,8296,52 - Finance and Insurance,NEW YORK,NY,10017,0,0,1,0
84,2024,AFFILIATED FM INSURANCE COMPANY,4496,52 - Finance and Insurance,JOHNSTON,RI,2919,1,0,0,0
85,2024,AFFINIPAY LLC,1420,52 - Finance and Insurance,AUSTIN,TX,78746,0,0,1,0
86,2024,AFFINITY INSURANCE SERVICES INC,2411,52 - Finance and Insurance,CHICAGO,IL,60601,0,0,1,0
87,2024,AFFINITY INVESTMENT ADVISORS LLC,4127,52 - Finance and Insurance,NEWPORT BEACH,CA,92660,1,0,0,0
88,2024,AFFINIUS CAPITAL LLC,7999,52 - Finance and Insurance,SAN ANTONIO,TX,78230,0,0,1,0
89,2024,AFFIRM INC,3534,52 - Finance and Insurance,SAN FRANCISCO,CA,94108,10,0,62,2
90,2024,AFICS INC,5441,52 - Finance and Insurance,MADISON,WI,53783,0,0,1,0
91,2024,AFLAC ASSET MANAGEMENT LLC,3641,52 - Finance and Insurance,COLUMBUS,GA,31999,4,0,5,0
92,2024,AFLAC INCORPORATED,7100,52 - Finance and Insurance,COLUMBUS,GA,31999,0,0,3,0
93,2024,AFTERPAY US INC,8301,52 - Finance and Insurance,OAKLAND,CA,94612,6,0,20,0
94,2024,AG RESOURCE MANAGEMENT LLC,260,52 - Finance and Insurance,FORT WORTH,TX,76102,0,0,1,0
95,2024,AGAM CAPITAL MANAGEMENT LLC,5043,52 - Finance and Insurance,TEANECK,NJ,7666,1,0,2,0
96,2024,AGCO CORPORATION,19,52 - Finance and Insurance,DULUTH,GA,30096,1,0,0,0
97,2024,AGENCYBLOC LLC,3665,52 - Finance and Insurance,CEDAR FALLS,IA,50613,0,0,2,0
98,2024,AGFIRST FARM CREDIT BANK,6947,52 - Finance and Insurance,COLUMBIA,SC,29201,0,0,7,0
99,2024,AGILE PEOPLE AND PAYROLL LLC,3260,52 - Finance and Insurance,RICHARDSON,TX,75080,1,0,0,0
100,2024,AGORA ATLAS CORP,9874,52 - Finance and Insurance,JERSEY CITY,NJ,7310,0,0,1,0
101,2024,AGRICULTURAL BANK OF CHINA LIMITED,1245,52 - Finance and Insurance,NEW YORK,NY,10172,0,0,2,0
102,2024,AH CAPITAL MANAGEMENT LLC,1217,52 - Finance and Insurance,SAN FRANCISCO,CA,94107,0,0,3,0
103,2024,AICAPITAL LLC,8168,52 - Finance and Insurance,CHICAGO,IL,60611,1,0,1,0
104,2024,AIG CLAIMS INC,5174,52 - Finance and Insurance,JERSEY CITY,NJ,7302,0,0,4,0
105,2024,AIG EMPLOYEE SERVICES INC,7731,52 - Finance and Insurance,JERSEY CITY,NJ,7302,2,0,14,0
106,2024,AIG EMPLOYEE SERVICES INC,7734,52 - Finance and Insurance,JERSEY CITY,NJ,7302,0,0,1,0
107,2024,AIG GLOBAL ASSET MANAGEMENT HOLDINGS CORP,953,52 - Finance and Insurance,JERSEY CITY,NJ,7302,0,0,1,0
108,2024,AIG PC GLOBAL SERVICES INC,5576,52 - Finance and Insurance,JERSEY CITY,NJ,7302,2,0,22,0
109,2024,AIOI NISSAY DOWA INSURANCE SERVICE,4970,52 - Finance and Insurance,TORRANCE,CA,90501,0,0,1,0
110,2024,AIPSO,2270,52 - Finance and Insurance,JOHNSTON,RI,2919,1,0,0,0
111,2024,AIR WORLDWIDE CORPORATION,4254,52 - Finance and Insurance,BOSTON,MA,2111,12,0,13,1
112,2024,AIRWALLEX US LLC,3769,52 - Finance and Insurance,SAN FRANCISCO,CA,94105,1,0,2,0
113,2024,AIRWALLEX US LLC,3769,52 - Finance and Insurance,SAN FRANCISCO,CA,94111,3,0,1,0
114,2024,AKADIA CAPITAL PARTNERS LLC,6099,52 - Finance and Insurance,NEW YORK,NY,10016,0,0,1,0
115,2024,AKOYA LLC,9242,52 - Finance and Insurance,BOSTON,MA,2109,3,0,3,0
116,2024,AKUNA CAPITAL LLC,3219,52 - Finance and Insurance,CHICAGO,IL,60604,12,0,10,0
117,2024,AKUR8 INC,9776,52 - Finance and Insurance,NEW YORK,NY,10010,1,0,0,0
